name,category,price,stock,imageUrl,description,cost,videoUrl
"Mountain Landscape Print","Art Prints",189,50,"https://images.unsplash.com/photo-1506905925346-21bda4d32df4?auto=format&fit=crop&q=80&w=800","Stunning mountain landscape photograph printed on premium archival paper. Perfect for modern minimalist spaces.",85,
"Ocean Waves Print","Art Prints",189,45,"https://images.unsplash.com/photo-1505142468610-359e7d316be0?auto=format&fit=crop&q=80&w=800","Dramatic ocean waves captured at golden hour. Brings tranquility to any room.",85,
"Forest Path Print","Art Prints",189,40,"https://images.unsplash.com/photo-1441974231531-c6227db76b6e?auto=format&fit=crop&q=80&w=800","Serene forest path through ancient trees. Creates a peaceful atmosphere.",85,
"Desert Dunes Print","Art Prints",189,35,"https://images.unsplash.com/photo-1509316785289-025f5b846b35?auto=format&fit=crop&q=80&w=800","Minimalist desert landscape with sweeping sand dunes and subtle shadows.",85,
"Japanese Garden Print","Art Prints",189,30,"https://images.unsplash.com/photo-1528164344705-47542687000d?auto=format&fit=crop&q=80&w=800","Traditional Japanese garden with stone lanterns and zen elements.",85,
"Cherry Blossom Print","Art Prints",189,55,"https://images.unsplash.com/photo-1522383225653-ed111181a951?auto=format&fit=crop&q=80&w=800","Delicate cherry blossoms in full bloom. Captures the essence of spring.",85,
"Bamboo Forest Print","Art Prints",189,48,"https://images.unsplash.com/photo-1523712999610-f77fbcfc3843?auto=format&fit=crop&q=80&w=800","Dense bamboo forest creating natural patterns and textures.",85,
"Minimalist Architecture Print","Art Prints",189,42,"https://images.unsplash.com/photo-1511818966892-d7d671e672a2?auto=format&fit=crop&q=80&w=800","Clean architectural lines and geometric forms in monochrome.",85,
"Abstract Ink Print","Art Prints",189,38,"https://images.unsplash.com/photo-1549887534-1541e9326642?auto=format&fit=crop&q=80&w=800","Flowing black ink patterns on white paper in traditional Japanese style.",85,
"Zen Stones Print","Art Prints",189,52,"https://images.unsplash.com/photo-1602524206684-76b7c36f90b0?auto=format&fit=crop&q=80&w=800","Balanced zen stones creating harmony and peaceful energy.",85,
