name,category,price,stock,imageUrl,description,cost,videoUrl
"Mountain Landscape Print","Art Prints",189,50,"mountain-landscape.jpg","Stunning mountain landscape photograph printed on premium archival paper. Perfect for modern minimalist spaces.",85,
"Ocean Waves Print","Art Prints",189,45,"ocean-waves.jpg","Dramatic ocean waves captured at golden hour. Brings tranquility to any room.",85,
"Forest Path Print","Art Prints",189,40,"forest-path.jpg","Serene forest pathway with dappled sunlight. Creates a peaceful atmosphere.",85,
"Desert Dunes Print","Art Prints",189,35,"desert-dunes.jpg","Sweeping sand dunes at sunset. Warm tones perfect for cozy spaces.",85,
"Japanese Garden Print","Art Prints",209,30,"japanese-garden.jpg","Tranquil Japanese garden with stone lantern and koi pond. Zen aesthetic.",95,
"Cherry Blossom Print","Art Prints",209,25,"cherry-blossom.jpg","Delicate cherry blossoms in full bloom. Soft pink tones for elegant spaces.",95,
"Bamboo Forest Print","Art Prints",209,20,"bamboo-forest.jpg","Mystical bamboo grove with filtered light. Creates depth and serenity.",95,
"Minimalist Architecture Print","Art Prints",229,15,"architecture.jpg","Clean lines and geometric shapes. Perfect for contemporary interiors.",105,
"Abstract Ink Print","Art Prints",229,10,"abstract-ink.jpg","Flowing black ink on white background. Modern abstract artwork.",105,
"Zen Stones Print","Art Prints",229,5,"zen-stones.jpg","Balanced stone cairn on sandy beach. Minimalist meditation piece.",105,
